ROW_NUMBER,SUBGROUP,AVG_SPENDING,TARGET_SPENDING,MONTH_1,MONTH_2,MONTH_3,MONTH_4,MONTH_5,MONTH_6,LABEL
290,3,319.11,638,203,158,28,59,18,140,1
291,2,384.9,577,103,80,48,80,12,76,1
292,1,235.77,295,138,62,28,20,23,24,0
293,1,215.6,270,217,96,38,21,47,83,1
294,2,149.08,224,221,220,81,41,62,84,1
295,2,347.02,521,173,90,13,9,31,83,0
296,3,213.62,427,98,162,27,181,85,156,1
297,2,377.74,567,67,81,105,104,44,101,1
298,3,419.01,838,153,120,13,43,15,55,0
299,3,343.32,687,144,133,31,80,31,83,0
300,1,112.56,141,54,145,66,64,23,47,0
301,2,224.77,337,58,41,13,24,20,36,1
302,1,170.81,214,125,188,42,28,51,68,0
303,3,385.14,770,116,84,21,28,7,39,0
304,1,147.69,185,0,20,97,38,39,412,1
305,3,243.01,486,80,93,100,15,31,80,0
306,1,41.95,52,91,176,70,11,9,145,0
307,1,92.19,115,136,146,89,103,48,84,1
308,1,478.32,598,4,52,13,91,27,108,0
309,3,376.37,753,33,147,1,1,50,167,1
310,1,153.37,192,132,44,191,11,98,130,1
311,3,96.36,193,268,120,62,56,34,66,1
312,3,294.84,590,205,10,95,2,25,165,1
313,3,137.85,276,141,63,54,36,43,62,0
314,3,134.51,269,174,121,51,44,52,60,0
315,2,384.23,576,109,74,57,172,42,152,1
316,1,43.26,54,162,77,64,9,82,108,0
317,2,148.66,223,0,80,114,146,17,145,0
318,3,486.27,973,68,134,76,50,76,98,1
319,3,222.27,445,106,121,50,45,25,52,0
320,1,53.23,67,153,124,48,37,28,112,0
321,2,282.22,423,20,125,28,14,5,103,0
322,2,288.4,433,228,14,66,48,55,91,1
323,3,225.77,452,292,99,37,30,61,87,1
324,2,92.68,139,189,205,1,82,9,120,1
325,2,289.04,434,233,51,148,7,40,127,1
326,1,382.1,478,109,221,132,30,18,96,1
327,1,377,471,2,33,216,139,19,197,1
328,2,191.19,287,175,261,37,14,99,227,1
329,1,328.42,411,147,141,122,22,9,165,1
330,2,63.96,96,26,19,17,12,7,7,1
331,1,167.37,209,189,154,1,19,35,104,1
332,1,294.61,368,223,206,31,67,53,129,1
333,2,234.36,352,0,137,56,76,7,123,0
334,3,86.9,174,80,169,114,31,16,92,0
335,2,186.95,280,54,99,52,33,28,133,0
336,3,60.45,121,86,5,29,32,17,23,1
337,1,312.68,391,96,20,14,4,72,89,0
338,1,382.52,478,22,48,156,41,56,76,0
339,3,312.82,626,123,44,1,54,17,56,0
340,3,239.86,480,116,180,62,61,18,65,0
341,2,317.66,476,153,54,35,63,5,89,0
342,2,309.91,465,75,279,185,63,49,162,1
343,3,503.01,1006,64,56,46,97,21,115,1
344,2,384.7,577,115,39,68,45,105,130,0
345,2,345.55,518,187,128,89,30,24,44,0
346,3,353.89,708,23,92,55,2,162,168,0
347,3,229.63,459,55,218,80,126,46,81,1
348,2,420.96,631,112,87,228,78,36,272,1
349,1,294.21,368,242,151,13,91,28,81,1
350,1,20.22,25,200,296,111,100,39,67,1
351,1,573.9,717,42,272,115,36,62,79,1
352,1,218.32,273,0,84,49,28,14,17,1
353,2,160.22,240,216,100,18,40,16,112,1
354,2,38.92,58,46,148,177,92,0,143,1
355,1,339.98,425,100,35,65,31,10,54,1
356,2,263.56,395,99,42,165,194,99,110,1
357,1,96.42,121,171,65,25,6,52,80,0
358,2,198.77,298,69,84,9,12,39,289,1
359,1,207.14,259,192,135,35,13,105,126,1
360,2,210.86,316,251,56,129,19,62,89,1
361,2,32.3,48,57,54,180,68,51,92,0
362,1,66.1,83,82,25,65,35,38,50,1
363,1,343.55,429,109,174,78,5,30,106,0
364,1,73.22,92,181,83,65,28,20,22,0
365,2,69.48,104,121,71,19,115,38,138,0
366,1,203.03,254,9,242,88,13,51,99,1
367,3,460.85,922,140,156,164,113,56,80,1
368,3,391.01,782,97,68,23,51,85,178,0
369,3,371.85,744,68,4,25,80,48,70,1
370,3,47.34,95,216,44,95,71,34,42,0
371,3,207.65,415,151,6,139,78,30,202,1
372,2,104.29,156,173,8,20,85,51,62,0
373,2,180,270,27,14,112,2,78,269,1
374,1,261.38,327,140,97,114,67,23,61,0
375,2,157.21,236,222,49,76,35,59,61,0
376,2,52.87,79,160,90,56,31,26,36,0
377,1,402.89,504,153,203,47,174,33,203,1
378,1,124.92,156,57,158,194,98,169,240,1
379,3,478.16,956,205,126,29,153,38,158,1
380,2,165.74,249,206,93,52,70,31,50,0
381,1,75.44,94,79,147,58,23,42,50,0
382,3,451.2,902,72,36,56,32,47,52,1
383,1,286.75,358,73,73,8,157,14,177,1
384,1,71.76,90,22,70,182,18,98,112,0
385,1,385.36,482,115,8,73,4,10,85,0
386,3,210.03,420,232,158,64,34,22,96,1
387,2,160.17,240,108,133,106,92,17,150,1
388,1,194.35,243,88,100,6,48,20,240,1
389,3,164.23,328,61,64,145,110,51,71,0
390,3,455.07,910,132,35,61,18,4,45,0
391,1,52.32,65,35,103,196,48,147,180,1
392,2,141.09,212,222,73,74,1,65,171,1
393,1,349.73,437,50,107,5,24,33,76,0
394,2,311.82,468,344,80,0,139,70,76,1
395,1,301.47,377,52,87,36,32,85,107,1
396,3,192.9,386,37,45,52,131,15,119,0
397,1,359.54,449,148,109,11,102,9,227,1
398,3,375.95,752,185,243,32,54,89,106,1
399,3,279.92,560,193,71,113,19,35,71,0
400,1,37.37,47,20,116,48,40,7,64,0
401,2,305.55,458,195,161,127,27,21,178,1
402,3,345.78,692,11,177,9,9,44,149,1
403,3,467.14,934,5,2,156,43,58,238,1
404,3,245.09,490,144,84,42,14,2,216,1
405,3,345.67,691,16,120,71,58,66,68,1
406,3,140.8,282,113,115,45,74,48,107,1
407,1,426.93,534,187,156,75,15,27,42,1
408,3,128.4,257,59,123,209,13,12,190,1
409,3,188.14,376,248,60,25,172,53,151,1
410,1,149.58,187,69,16,100,20,9,185,0
411,3,221.77,444,158,101,140,19,9,179,1
412,2,235.02,353,222,70,36,21,38,115,1
413,2,52.29,78,21,20,3,5,8,31,1
414,1,163,204,61,12,118,46,36,126,0
415,2,188.01,282,39,59,18,50,54,75,1
416,3,436.29,873,137,74,34,24,53,180,0
417,2,185.61,278,149,36,94,29,20,71,0
418,1,423.46,529,223,226,55,85,1,119,1
419,3,263.91,528,202,184,63,58,36,63,1
420,1,279.12,349,64,123,84,24,39,65,1
421,3,220.85,442,200,107,85,29,41,144,1
422,3,117.63,235,68,57,41,26,13,90,1
423,2,76.54,115,138,42,23,39,26,27,0
424,1,290.91,364,189,96,71,47,32,67,0
425,3,53.79,108,256,6,21,32,74,217,1
426,3,166.46,333,39,214,90,217,99,154,1
427,1,33.95,42,171,90,22,74,33,112,0
428,3,67.18,134,203,119,8,45,119,215,1
429,1,96.18,120,67,52,69,36,29,249,1
430,1,158.77,198,83,233,95,43,69,83,1
431,3,208.42,417,36,65,59,16,103,120,0
432,1,151.16,189,6,180,19,26,59,212,1
433,3,176.07,352,9,15,14,41,100,116,0
434,1,182.66,228,174,43,15,66,41,60,0
435,2,138.3,207,0,201,173,86,19,127,1
436,2,7.95,12,14,55,39,22,6,56,1
437,1,325.47,407,86,29,39,162,88,305,1
438,3,486.84,974,187,136,85,32,13,153,1
439,2,51.76,78,210,10,19,99,57,107,1
440,1,102.47,128,244,22,88,8,54,86,1
441,3,251.67,503,180,54,81,24,15,45,0
442,3,325.03,650,81,10,63,95,24,126,0
443,1,207.69,260,207,140,13,61,16,65,1
444,2,114.83,172,5,21,167,70,36,203,1
445,1,417.41,522,156,124,89,117,23,97,1
446,3,77.53,155,218,23,106,47,54,158,1
447,2,197.31,296,26,285,6,103,60,126,1
448,2,412.36,619,5,76,91,93,24,110,0
449,1,551.19,689,186,28,185,18,139,153,1
450,3,269.95,540,84,58,82,34,40,101,1
451,1,226.14,283,287,53,17,12,75,162,1
452,1,145.28,182,203,3,13,40,25,218,1
453,1,258.65,323,58,158,31,126,24,209,1
454,2,457.34,686,8,186,20,71,37,284,1
455,1,128.63,161,207,105,18,77,17,78,0
456,1,41.92,52,67,31,77,36,13,71,1
457,2,381.67,573,33,119,63,33,6,41,0
458,1,379.99,475,3,150,85,117,34,217,1
459,1,282.8,354,124,130,16,15,35,79,0
460,2,447.08,671,279,81,128,16,35,170,1
461,3,182.65,365,23,182,65,16,42,71,0
462,2,390.15,585,222,187,92,11,21,73,1
463,2,195.31,293,242,154,97,27,92,97,1
464,2,389.31,584,138,39,101,24,14,83,0
465,3,364.79,730,120,180,91,29,13,69,0
466,2,477.99,717,119,22,27,33,31,63,0
467,1,203.61,255,175,11,92,18,14,192,1
468,1,325.81,407,214,123,2,8,28,127,1
469,3,331.46,663,51,228,117,88,2,120,1
470,3,148.93,298,115,167,79,12,11,118,0
471,1,25.62,32,28,126,68,4,32,37,0
472,1,138.41,173,114,10,53,53,19,46,0
473,1,101.75,127,34,24,122,55,79,85,0
474,3,321.34,643,215,105,41,31,102,112,1
475,3,378.04,756,31,23,159,109,22,365,1
476,1,255.09,319,220,3,218,38,30,200,1
477,2,22.29,33,250,166,65,42,10,73,1
478,3,139.53,279,94,97,80,41,147,250,1
479,2,54.01,81,176,131,5,63,46,185,1
480,3,374.71,749,135,234,48,76,13,100,1
481,2,60.1,90,299,131,72,23,37,44,1
482,3,457.65,915,184,20,148,34,13,103,1
483,1,385.18,481,131,48,31,9,14,62,0
484,2,254.71,382,251,115,118,107,51,67,1
485,3,211.78,424,140,104,158,13,112,182,1
486,3,174.68,349,28,125,128,7,99,115,0
487,1,397.27,497,53,200,69,10,55,219,1
488,2,143.96,216,39,20,5,120,44,171,0
489,2,225.56,338,37,63,133,23,30,113,0
490,2,297.87,447,142,155,119,64,23,103,1
491,2,283.26,425,5,176,103,51,0,64,0
492,3,210.63,421,154,0,191,15,0,246,1
493,2,337.71,507,29,126,72,80,17,178,0
494,2,186.36,280,163,34,70,9,5,118,0
495,1,181.61,227,154,51,142,24,59,72,0
496,3,216.74,433,112,58,38,116,129,153,1
497,2,219.5,329,143,119,43,20,81,96,0
498,2,289.91,435,197,91,199,83,59,80,1
499,2,330.47,496,8,44,71,115,26,135,0
500,1,458.02,573,80,4,208,90,23,97,1
501,1,545.81,682,93,180,102,0,28,99,0
502,2,385.06,578,88,2,110,25,31,350,1
503,3,329.34,659,267,185,66,69,14,108,1
504,3,100.77,202,76,33,4,18,95,173,0
505,3,227.07,454,151,118,54,20,28,28,0
506,1,256.87,321,45,198,170,70,61,62,1
507,3,419.12,838,356,80,5,173,49,150,1
508,2,212.05,318,88,129,142,33,9,101,0
509,1,362.18,453,253,8,94,38,32,284,1
510,2,75.22,113,179,28,34,8,10,140,1
511,1,107.8,135,212,2,138,12,69,69,1
512,3,142.3,285,203,190,51,89,6,170,1
513,3,126.86,254,26,5,45,22,42,52,1
514,1,405.88,507,230,165,3,54,27,127,1
515,2,362.87,544,55,196,6,70,1,174,1
516,1,202.59,253,24,88,77,200,77,140,1
517,2,217.94,327,139,144,40,63,5,111,0
518,3,288.96,578,262,76,129,16,50,73,1
519,3,61.95,124,214,72,6,46,131,137,1
520,2,169.29,254,49,32,171,23,91,136,0
521,3,71.53,143,67,52,80,24,19,53,1
522,2,85.59,128,18,184,13,22,58,104,0
523,3,220.49,441,280,167,46,17,103,200,1
524,2,344.13,516,91,76,31,45,1,51,1
525,1,297.32,372,147,51,68,111,18,107,0
526,3,543.05,1086,124,144,23,104,1,106,0
527,3,137.09,274,22,1,74,199,11,195,1
528,1,85.69,107,59,110,42,12,21,51,1
529,2,495.45,743,226,105,12,60,14,85,1
530,1,223.9,280,132,107,11,43,38,68,0
531,2,279.71,420,176,11,80,90,43,102,0
532,2,111.49,167,61,190,50,65,41,95,0
533,3,115.34,231,53,58,9,46,12,117,0
534,2,177.09,266,30,23,207,89,74,183,1
535,2,240.34,361,100,81,50,14,11,39,0
536,3,260.09,520,190,40,23,27,52,67,0
537,3,360.01,720,66,43,1,110,35,144,0
538,2,455.57,683,99,141,55,183,21,210,1
539,2,176.31,264,145,171,55,16,15,100,0
540,2,123.53,185,153,148,35,33,39,94,0
541,3,284.87,570,89,201,27,13,16,156,1
542,2,402.74,604,192,40,0,81,22,64,0
543,2,405.39,608,93,182,20,0,73,134,0
544,1,107.04,134,48,99,18,156,36,145,0
545,1,485.83,607,56,100,171,33,37,209,1
546,1,447.37,559,226,91,122,80,22,65,1
547,2,368.52,553,108,134,5,210,81,171,1
548,2,216.64,325,118,198,118,46,39,87,1
549,3,400.01,800,38,7,94,22,36,202,1
550,3,434.87,870,72,55,78,20,23,47,1
551,2,275.28,413,70,214,27,27,82,82,0
552,1,32.64,41,186,78,39,0,143,160,1
553,2,161.18,242,145,63,1,19,26,41,0
554,1,308.26,385,7,100,116,18,92,169,0
555,3,136.75,274,59,74,29,17,7,109,0
556,1,16.99,21,40,87,58,3,12,95,0
557,1,304,380,87,13,200,75,54,73,0
558,2,378.07,567,93,146,44,35,38,43,0
559,1,68.53,86,77,13,103,22,85,99,0
560,3,403.48,807,111,111,53,8,40,179,0
561,2,246.09,369,200,80,45,42,42,197,1
562,2,343.13,515,272,94,82,29,9,120,1
563,3,167.19,334,183,84,24,41,19,48,0
564,1,95.66,120,105,71,87,19,43,74,1
565,1,214.42,268,246,128,53,18,5,52,1
566,1,360.97,451,119,23,28,55,29,41,0
567,3,213.94,428,99,44,143,34,69,217,1
568,1,315.61,395,170,209,47,65,47,68,1
569,2,183.27,275,8,142,37,22,28,58,0
570,2,84.12,126,78,43,61,7,1,105,0
571,1,387.94,485,147,107,198,99,19,139,1
572,2,186.35,280,37,119,69,72,13,192,0
573,1,54.9,69,270,80,75,49,11,121,1
574,3,365.33,731,81,88,79,17,9,125,0
575,2,108.23,162,104,229,75,70,70,161,1
576,2,157.87,237,166,178,96,6,20,140,1
