ROW_NUMBER,SUBGROUP,AVG_SPENDING,TARGET_SPENDING,AVG_CALL_COUNT,AVG_CALL_DUR,AVG_ACCT_BAL_BEFORE_CALL,AVG_RECHARGE_AMT,AVG_ACCT_BAL_BEFORE_RECHARGE,LABEL
34,3,440.31,881,24.66,97.3,261.89,3033.35,7.25,1
35,1,139.36,174,15.49,219.42,183.87,2287.38,60.35,1
36,3,383.04,766,7.28,339.92,175.45,1137.51,19.25,0
37,1,375.72,470,17.43,164.03,281.63,1518.42,45.1,1
38,2,170.78,256,5.73,161.63,138.85,3584.48,12.31,1
39,3,248.96,498,19.91,7,29.44,2877.27,15.17,1
40,3,402.09,804,4.28,254.03,32.82,1865.65,64.55,1
41,2,268.68,403,6.29,130.69,239.01,3564.92,58.87,0
42,2,210.37,316,20.63,220.25,51.07,2921.57,63.22,1
43,1,334.38,418,10.17,28.57,59.39,3299.66,5.92,0
44,2,491.71,738,15.13,79.65,313.68,3501.69,36.33,1
45,3,395.22,790,8.77,517.94,248.95,1519.51,11.76,1
46,1,271.1,339,5.4,88.67,261.32,1557.14,12.8,1
47,3,108.76,218,6.55,30.81,276.74,2585.6,50.28,1
48,2,362.59,544,10.65,165.33,44.99,903.31,32.6,1
49,2,295.6,443,13.47,50.34,159.34,2660.65,25.4,0
50,1,273.43,342,13.54,15.88,103,2875.09,54.08,0
51,1,274.66,343,6.33,59.1,9.24,2776.5,6.6,0
52,2,183.88,276,12.55,58.16,244.64,2140.05,61.83,0
53,3,232.63,465,14.06,64.35,359.62,1155.26,31.64,1
54,3,301.15,602,17.68,122.69,69.39,3473.2,5.68,0
55,1,265.67,332,14.11,204.38,285.6,941.33,13.4,1
56,2,201.56,302,3.39,151.35,304.71,1997.46,39.15,1
57,1,410.68,513,19.64,53.91,340.31,256.08,50.21,1
58,3,390.22,780,24.45,62.13,310.09,379.42,37.75,1
59,2,230.39,346,18.47,113.5,58.13,3448.48,59.62,0
60,1,160.39,200,2.1,56.05,157.76,57.81,18.6,0
61,1,351.86,440,15.11,97.71,164.95,1867.63,31.08,1
62,3,330.33,661,13.05,93.75,8.41,2667.93,33.54,0
63,2,292.39,439,13.24,318.26,69.66,3186.88,59.4,1
64,1,324.03,405,19.28,282.89,117.44,2495.84,41.44,1
65,2,57.03,86,9.97,122.92,126.18,3185.04,52.1,0
66,3,132,264,10.51,38.51,276,315.07,51.28,1
67,2,329.31,494,17.69,14.58,74.51,2739.19,68.82,1
68,2,290.42,436,15.51,76.92,186.44,203,47.24,0
69,3,216.68,433,14.45,48.06,159.68,811.07,30.82,0
70,3,168.32,337,5.72,304.78,121.99,1355.72,66.73,1
71,1,384.17,480,3.55,86.29,197.88,475.22,6.13,0
72,1,218.89,274,13.98,104.81,277.39,2485.27,14.78,0
73,1,230.71,288,11.41,24.36,266.62,3228.37,18.38,1
74,1,237.56,297,17.22,48.75,354.11,340.09,26.06,1
75,2,154.09,231,11.44,131.9,310.68,3169.91,11.17,1
76,3,346.97,694,11.8,32.47,337.86,460.86,12.91,1
77,3,494.31,989,26.36,397.5,78.99,362.81,29.6,1
78,3,224.63,449,29.95,42.76,264.81,1183.7,61.37,0
79,2,118.67,178,11.3,119.3,348.18,407.92,52.84,1
80,2,419.38,629,9.15,43.13,335.2,3454.55,58.49,1
81,2,143.52,215,21.51,34.46,227.08,195.24,36.54,0
82,1,434.23,543,22.56,132.63,356.45,3566.17,37.73,0
83,1,419.01,524,27.12,322.27,43.23,865.1,28.68,1
84,2,38.34,58,15.21,204.19,74.56,1680.98,21.04,1
85,1,373.79,467,4.86,165.63,329.78,2328,52.18,1
86,1,75.09,94,25.75,9.79,120.81,3100.45,35.87,1
87,3,398.39,797,12.35,18.07,269.08,1006.57,9.45,1
88,1,299.25,374,12.8,65.74,47.45,1489.1,50.23,1
89,3,103.2,206,25.26,107.3,114.19,1811.99,14.04,0
90,3,275.57,551,12.29,105.24,90.83,2500.87,13.63,0
91,1,108.91,136,27.04,250.47,231.24,1075.93,15.03,1
92,3,290.05,580,25.15,30.2,265.95,641.72,51.81,1
93,1,305.54,382,24.69,92.55,72.64,1761.76,42.35,0
94,3,224.3,449,14.25,137.67,90.61,1956.65,35.13,0
95,2,259.04,389,20.73,4.46,342.59,1295.07,37.27,1
96,2,51.93,78,15.48,202.19,164.89,344.09,67.01,0
97,1,340.26,425,7.61,162.4,124.02,3323.04,45.52,1
98,2,44.5,67,6.64,77.21,134.6,2382.24,33.09,0
99,2,213.18,320,15.31,44.15,261.53,2639.17,39.19,1
100,3,432.36,865,6.8,38.69,272.32,1981.88,58.51,0
101,3,304.59,609,7.21,330.47,290.31,3563.03,65.78,1
102,1,213.43,267,14.73,305.71,149.07,3224.99,23.9,0
 103 ,3,250.79,502,31.35,48.24,336.19,2112.28,19.37,1
104,1,80.57,101,8.68,106.58,244.66,2726.89,56.09,1
105,3,318.26,637,6.25,46.11,327.82,2294.41,26.03,0
106,1,330.08,413,16.83,106.78,172.21,3236.91,20.67,0
107,3,207.56,415,13.51,104.47,272.82,3138.54,57.34,0
108,3,373.39,747,11.73,148.93,59.62,257.22,46.53,0
109,3,201.8,404,22.03,38.37,237.69,1361.94,3.32,0
110,3,254.46,509,10.65,246.62,352.46,2545.05,38.05,1
111,2,221.23,332,5.08,33.95,291.63,2224.24,21.65,1
112,1,198.88,249,11.74,239.76,208.66,1798.81,3.53,1
113,3,241.57,483,23.77,58.24,187.17,1879.65,52.01,0
114,1,114.3,143,22.43,9.43,360.76,2352.6,61.15,1
115,3,292.71,585,20.13,78.98,263.54,2454.98,40.93,1
116,2,322.71,484,4.55,109.33,271.42,1622.77,11.82,1
117,2,238.37,358,13.29,6.4,87.15,1104.35,39.62,0
118,2,218.96,328,11.26,203.63,80.47,3575.7,14.48,0
119,3,185.3,371,5.46,110.51,176.68,197.6,47.13,0
120,1,33.52,42,11.23,179.44,311.84,1216.58,60.43,1
121,3,220.26,441,12.66,69.98,86.34,3385.77,34.67,0
122,1,330.12,413,17.7,104.35,312.71,1432.14,34.23,1
123,3,403.74,807,16.56,304.22,128.26,3555.28,46.17,1
124,2,149.22,224,17.88,60.56,305.67,521.94,41.76,1
125,1,385.61,482,9,486.37,333.24,653.39,14.67,1
126,2,123.33,185,20.22,86.52,107.42,541.38,10.09,0
127,2,173.97,261,30.85,21.08,125.09,2491.84,49.4,1
128,1,338.86,424,6.07,45.89,345.92,3593.01,1.28,1
129,2,431.63,647,22.34,36.19,41.21,2658.36,26.51,0
130,3,372,744,15.66,155.05,242.93,2530.31,0.05,0
131,2,275.87,414,7.42,190.28,158.27,471.75,33.61,1
132,3,363.38,727,30.58,96.91,245.52,3342.02,66.55,1
133,3,308.44,617,9.89,107.27,328.47,1711.09,66.2,1
134,1,358.11,448,12.48,130.53,331.49,1000.08,42.11,1
135,1,356.55,446,14.89,246.25,168.75,611.88,48.68,1
136,2,272.81,409,9.63,180.52,275.32,2913.96,21.96,1
137,3,249.17,498,16.02,168.68,74.17,1632.65,28.82,1
138,2,283.9,426,11.35,11.52,210.89,2115.37,38.09,1
139,2,87.92,132,16.52,163.05,237.11,1784.98,52.88,1
140,1,97.52,122,18.93,295.78,154.22,3522.48,33.53,0
141,1,58.04,73,7.12,284.14,62.16,3221.41,66.62,0
142,1,82.84,104,11.04,28.37,133.89,1675.04,65.61,0
143,1,31.27,39,17.45,91.15,337.1,2241.77,62.86,1
144,3,481.18,962,7.34,68.09,76.8,2012.36,37.31,0
145,2,106.86,160,13.7,121.04,331.99,1311.81,56.12,1
146,1,104.1,130,12.13,63.89,200.08,821.6,46.56,0
147,1,261.06,326,28.82,159.63,44.4,3065.86,15.13,1
148,2,394.32,591,18.54,140.06,317.45,2581.87,59.71,1
149,2,375.64,563,5.6,90.13,79.32,2096.19,68.32,0
150,1,328.35,410,24.39,151.15,275.8,1906.83,10,1
151,3,148.79,298,11,9.79,343.98,683.66,14.08,1
152,3,38.02,76,2.56,113.3,145.89,1603.13,56.82,0
153,3,91.87,184,11.57,101.98,113.32,3225.87,69.21,0
154,3,297.37,595,2.25,19.61,260.93,2573.28,47.68,1
155,3,63.78,128,4.59,164.28,69.1,732.91,58.74,1
156,3,353.46,707,14.61,52.31,84.98,203.11,4.18,0
157,1,141.23,177,13.07,30.69,299.89,3301.22,68.71,1
158,2,83.77,126,26.21,269.67,12.57,1772.68,29.89,1
159,3,292.09,584,10.62,38.08,82.43,2332.25,64.75,0
160,3,126.31,253,11.49,12.1,188.71,2323.58,33.23,0
161,1,381.5,477,14.89,308.46,336.01,1225.31,58.24,1
162,3,94.85,190,33.03,60.61,20.73,1009.71,17.79,1
163,3,207.2,414,10.39,210.42,187.49,3435.59,67.89,1
164,3,100.03,200,9.44,154.82,211.01,813.61,3.27,0
165,3,338.75,678,14.47,5.95,351.51,1009.91,10.57,1
166,3,246.61,493,9.29,78.39,111.4,1351.26,6.36,0
167,3,189.77,380,34.2,128.38,213.43,1051.47,44.82,1
168,3,148.48,297,15.8,10.97,331.25,2531.04,45.84,1
169,3,180.37,361,17.93,49.18,62.62,827.28,2.55,0
170,2,114.79,172,5.6,55.42,155.05,303.89,55.23,1
171,3,149.48,299,11.27,103.32,300.63,619.64,58.45,1
172,3,270.91,542,50.15,41.3,178.46,3529.39,70.72,1
173,3,47.08,94,19.04,345.24,123.87,126.76,26.12,1
174,1,56.7,71,5.15,68.1,41.1,954.07,48.08,0
175,3,44.83,90,10.42,34.96,324.11,2768.25,19.6,1
176,1,387.26,484,10.19,55.2,197.96,3111.07,69.59,0
177,1,461.96,577,19.61,160.28,237.78,425.41,5.9,1
178,2,96.21,144,5.96,76.72,152,1513.55,35.84,1
179,2,107.18,161,31.31,121.42,346.45,2425.13,10.32,1
180,1,395.46,494,16.46,161.36,350.48,3225.34,9.01,1
181,3,386.17,772,13.44,7.32,148.29,3510.27,18.77,0
182,3,418,836,8.65,80.89,312.84,1443.35,53.97,1
183,2,83.95,126,42.75,30.25,202.07,3429.02,51.72,1
184,2,249.48,374,12.8,94.51,217.2,1056.49,30.22,0
185,3,192.85,386,29.39,443.85,38.55,2293.42,63.26,1
186,3,391.81,784,6.67,244.12,156.71,2839.71,66.57,1
187,1,34.87,44,18.55,54.4,338.84,3199.02,59.61,1
188,1,115.74,145,13.62,53.4,127.65,2352.98,11.09,0
189,2,72.66,109,8.96,305.59,172.68,2239,69.02,1
190,1,227.27,284,10.88,172.11,289.38,3232.71,21.26,1
191,3,41.09,82,22.86,63.23,202.77,1278.03,56.53,0
192,2,293.13,440,18.98,39.76,133.24,977.71,67.83,0
193,2,25.58,38,9.39,131.32,280.29,2219.39,65.98,1
194,1,228.31,285,22.9,48.51,278.65,2295.85,42.07,1
195,3,301.56,603,6.12,124.17,242.6,2044.73,12.97,0
196,3,110.9,222,13.14,146.73,333.66,737.75,53.52,1
197,3,24.72,49,16.64,34.36,183.4,2131.62,7.8,0
198,1,361.32,452,9.31,80.04,311.69,3404.8,67.59,1
199,1,44.67,56,12.56,291.98,232.63,95.99,63.32,1
200,2,84.59,127,28.7,37.54,282.11,1843.52,65.69,1
201,1,173.41,217,7.35,204.28,352.58,203.93,30.97,1
202,3,149.86,300,14.29,99.51,100.94,1899.48,33.22,0
203,1,158.62,198,17.45,87.25,93.18,448.04,44.81,0
204,2,99.38,149,8.25,417.72,106.05,839.3,33.7,1
205,1,259.81,325,14.41,81.16,232.94,1914.57,54.93,0
206,1,38.52,48,15.27,109.92,38.99,649.25,57.8,0
207,3,249.82,500,19.03,172.59,341.75,1769.13,25.08,1
208,2,257.27,386,18.09,310.35,75.57,1392.44,27.73,1
209,3,287.72,575,5.15,192.94,192.2,2893.92,67.55,1
210,1,377.6,472,24.88,187.79,219.47,1001.32,33.4,1
211,2,179.27,269,17.28,84.65,150.09,2083.51,34.01,0
212,2,333.61,500,2.82,117.55,57.45,327.24,16,0
213,1,127.3,159,10.8,53.76,91.05,1936.74,64.11,0
214,2,314.14,471,6.61,34.81,249.33,3530.05,66.38,0
215,2,18.93,28,26.09,226.06,211.66,352.52,62.21,1
216,2,403.53,605,17.64,240.41,239.67,2635.91,44.39,1
217,3,367.67,735,11.72,26.88,23.69,1757.78,45.32,0
218,3,253.76,508,19.46,18.32,310.66,3246.33,40.76,1
219,1,185.38,232,23.28,116.89,268.12,733.15,67.95,1
220,2,311.66,467,19.83,25.71,178.06,3025.19,32.67,0
221,1,93.89,117,6.58,198.98,210.65,3263.54,13.94,1
222,2,391.82,588,14.41,29.08,125.64,1428.14,35.35,0
223,1,125.82,157,7.86,12.45,211.62,3114.94,39.99,0
224,1,21.41,27,19.54,225.48,330.74,1220.83,14.9,0
225,3,229.63,459,33.41,55.87,193.42,3256.02,21.46,0
226,2,335.23,503,28.59,261.56,108.85,3201.52,68.03,1
227,1,271.39,339,18.68,86.41,280.08,1798.81,6.66,1
228,3,156.91,314,19.73,137.29,99.47,3322.22,56.57,0
229,1,306.76,383,10.04,491.3,236.09,975.66,33.78,1
230,2,404.77,607,10.02,128.65,36.76,2366.41,26.36,0
231,2,176.56,265,5.75,31.15,191.02,529.48,9.56,0
232,2,182.55,274,5.43,51.56,295.98,1368.02,22.09,0
233,3,387.68,775,13.94,195.85,179.25,1330.52,48.49,1
234,3,515.73,1031,11.75,5.72,6.49,3497.8,42.92,0
235,1,48.43,61,27.68,8.35,183.18,2409.14,62.3,1
236,3,234.92,470,8.67,79.38,47.85,2363.57,5.99,1
237,3,243.06,486,11.28,24.46,193.96,1664.38,40.71,0
238,1,47.74,60,3.13,44.24,147.1,485.12,29.42,0
239,2,248.11,372,8.2,509.9,316.2,3301.43,11.04,1
240,3,303.88,608,9.75,42.43,269.6,1439.64,33.93,1
241,1,235.77,295,12.58,142.93,280.89,2477.61,3.11,1
242,3,264.12,528,13.42,111.82,51.75,3506.41,5.69,0
243,1,277.89,347,30.28,30.24,238.74,1165.17,14.82,1
244,3,328.62,657,15.27,44.61,238.47,811.59,20.03,0
245,2,66.04,99,11.4,25.98,44.01,2057.94,15.64,0
246,2,104.49,157,20.57,59.52,212.23,2471.82,64.91,0
247,2,493.86,741,9.37,33.96,136.81,809.07,5.1,0
248,3,60.66,121,6.97,44.82,139.68,2798.86,38.66,0
249,3,188.46,377,12.63,124.12,169.98,2767.77,33.68,0
250,1,174.66,218,16.04,63.51,255.1,3442.84,16.81,1
251,2,472.97,709,42.69,199.09,349.45,657.75,64.57,0
252,2,69.31,104,17.44,32.99,10.83,3279.49,69.97,0
253,3,258.02,516,11.8,148.68,341.53,1052.01,49.09,1
254,1,397.88,497,7.87,815.46,6.1,2503.51,68.11,1
255,3,395.41,791,31.15,327.95,218.61,2235.7,58.34,1
256,3,189.47,379,18.09,78.49,118.14,2097.63,10.32,0
257,2,190.8,286,5.83,302.97,96.88,641.99,47.7,1
258,2,340.01,510,5.36,91.74,165.69,357.04,0.81,0
259,2,371.41,557,1.13,314.4,99.03,1990.43,52.76,1
260,1,113.23,142,19.45,50.53,110.24,1701.86,3.35,0
261,2,347.02,521,22.33,275.39,227.17,719.51,24.62,1
262,1,31.09,39,16.11,95.77,280.46,2270.89,40.81,0
263,3,81.37,163,42.84,66.14,222.06,577.43,8.95,1
264,1,203.01,254,9.42,7.16,45.85,1002.66,66.72,0
265,3,131.69,263,13.9,74,101.4,1192.55,21.27,0
266,3,71.76,144,19.95,139.39,70.11,2356.16,56.55,0
267,2,112.56,169,23.9,6.88,276.48,2278.91,63.66,1
268,1,426.89,534,19.81,188.24,335.08,221.89,43.23,1
269,3,123.39,247,13.91,165.07,224.07,1761.81,29.18,1
270,1,28.95,36,13.9,441.88,294.4,1223.74,60.13,1
271,2,296.31,444,2.72,16.81,280.36,1075.53,36.59,0
272,3,170.81,342,22.4,504.91,142.21,1348.91,43.87,1
273,1,165.59,207,18.45,37.18,308.11,2481.48,10.37,1
274,3,148.28,297,7.96,52.71,227.8,3496.28,60.89,0
275,2,224.18,336,25.7,365.64,292.69,2374.87,11.05,1
276,3,374.74,749,11.28,94.39,87.13,2828.45,53.91,0
277,2,478.32,717,41.7,32.33,210.27,640.58,52.79,1
278,1,137.85,172,15.42,95.13,346.03,1015.82,55.56,1
279,1,134.51,168,10.06,43.16,336.48,406.98,32.41,1
280,3,315.98,632,11.65,150.17,108.72,2839.03,31.57,0
281,1,43.26,54,15.37,70.94,287.54,1329.53,47.66,1
282,2,249.82,375,3.52,88.79,160.84,1460.9,69.19,0
283,3,175.21,350,10.82,70.2,58.62,1763.25,4.46,0
284,2,79.11,119,8.9,60.05,113.11,3175.72,35.84,0
285,1,115.68,145,14.66,103.71,160.97,953.21,11.01,0
286,3,418.88,838,11.61,84.13,277.57,3593.61,69.29,1
287,3,85.17,170,22.56,145.41,134.93,2331.27,48.42,0
288,2,169.64,254,8.34,51.6,188.09,3394.78,38.42,0
289,2,198.56,298,22.74,249.59,340.48,2627.56,50.27,1
290,3,319.11,638,30.67,15.05,239.72,786.3,23.47,1
291,2,53.23,80,22.05,21.45,324.93,128.26,51.09,1
292,1,396.71,496,19.73,92.07,56.7,2945.95,10.79,0
293,1,282.22,353,8.12,82.98,270.06,3088.62,11.44,1
294,2,234.36,352,24.25,70.28,343.39,2014.03,14.72,1
295,2,313.91,471,6.58,141.5,76.29,1630.99,66.81,0
296,3,213.62,427,28.2,289.04,314.19,3343.47,3.5,1
297,2,377.74,567,15.1,110.92,355.62,448.1,1.12,1
298,3,419.01,838,18.08,143.49,113.04,1894.71,14.82,0
299,3,343.32,687,15.08,112.29,33.82,801.03,70.01,0
300,1,273.92,342,20.13,16.63,231.86,2401.9,34.87,0
301,2,224.77,337,21.31,356.98,100.38,3267.62,59.95,1
302,1,326.59,408,7.22,356.38,272.36,134.55,41.08,0
303,3,385.14,770,7.85,159.54,140.89,843.21,69.61,0
304,1,147.69,185,22.96,168.46,210.85,3075.87,28.51,1
305,3,243.01,486,17.06,125.8,16.96,201,36.68,0
306,1,41.95,52,2.35,73.4,158.53,1529.36,16.87,0
307,1,86.9,109,4.73,153.09,303.31,2012.62,28.63,1
308,1,172.06,215,17.41,16.27,166.57,353.19,28.47,0
309,3,186.95,374,21.91,113.26,248.27,1370.69,10.83,1
310,1,312.68,391,4.31,118.49,341.89,1732.55,62.9,1
311,3,312.82,626,30.34,30.06,362.88,2581.56,8.42,1
312,3,239.86,480,13.3,188.76,116.26,3125.2,1.88,1
313,3,241.07,482,11.48,110.62,122,1910.3,14.63,0
314,3,270.18,540,15.65,46.41,132.46,3211.19,16.32,0
315,2,317.66,476,12.5,43.96,29.18,1924.7,5.79,1
316,1,407.36,509,16.53,86.4,195.42,2400.37,45.49,0
317,2,148.66,223,7.56,53.5,125.78,86.07,18.23,0
318,3,384.7,769,29.8,156.93,151.17,3339.22,54.83,1
319,3,222.27,445,7.52,135.37,73.11,1644.98,52.88,0
320,1,384.9,481,13.34,48.47,101.94,329.83,50.73,0
321,2,215.6,323,21.15,87.1,231.45,3252.32,62.38,0
322,2,288.4,433,24.06,24.16,196.11,2619.81,3.77,1
323,3,225.77,452,19.24,153.13,174.55,2517.44,23.25,1
324,2,345.55,518,20.35,223.27,126.67,248.94,47.99,1
325,2,353.89,531,14.5,101.65,273.19,102.06,58.99,1
326,1,96.42,121,5.86,123.9,85.77,2551.6,5.11,1
327,1,377,471,41.42,58.5,293.27,3360.77,47.56,1
328,2,343.55,515,25.5,202.89,17.29,1012.86,64.07,1
329,1,391.01,489,8.72,28.9,36.04,2152.2,59.07,1
330,2,63.96,96,9.4,165.72,22.14,2192.7,18.81,1
331,1,167.37,209,30.94,285.96,111.94,3321.02,6.08,1
332,1,294.61,368,11.78,11.35,257.8,2539.34,17.21,1
333,2,149.08,224,13.12,51.44,165.73,629.66,41.67,0
334,3,92.19,184,6.31,54.94,242.68,417.23,64.52,0
335,2,376.37,565,6.69,105.4,135.39,1253.76,35.22,0
336,3,60.45,121,23.72,317.74,293.87,3311.27,60.52,1
337,1,153.37,192,22.91,31.26,57.59,1575.6,15.55,0
338,1,382.52,478,13.56,130.05,185,2395.97,27.93,0
339,3,96.36,193,7.73,34.85,108.73,1556.88,28.66,0
340,3,294.84,590,11.86,2.09,9.87,986.8,66.33,0
341,2,384.23,576,7.06,170.06,341.34,2957.37,40.91,0
342,2,309.91,465,5.5,18.07,269.05,1720.22,31.74,1
343,3,47.34,95,14.14,41.67,256.76,3214.06,56.83,1
344,2,486.27,729,9.35,35.84,113.66,1129.73,14.35,0
345,2,92.68,139,16.45,63.56,53.31,468.15,43.91,0
346,3,289.04,578,18.93,33.65,82.7,167.27,9.97,0
347,3,165.74,331,8.48,70.73,360.25,1189.76,55.69,1
348,2,71.76,108,30.45,139.08,350.54,3023.01,37.95,1
349,1,294.21,368,15.51,163.47,208.67,923.1,27.74,1
350,1,349.73,437,29.31,511.44,353.26,2027.6,67.07,1
351,1,573.9,717,8.48,15.46,318.6,951.53,24.3,1
352,1,279.92,350,13.72,251.49,85.22,2589.71,58.9,1
353,2,37.37,56,4.29,58.19,346.57,2710.34,61.26,1
354,2,38.92,58,8.85,26.12,77.38,1966.84,69.88,1
355,1,149.58,187,18,98.67,310.23,454.11,35.39,1
356,2,163,245,51.86,60.6,201.09,3007.67,47.24,1
357,1,382.1,478,6.15,85.5,244.57,135.46,33.1,0
358,2,198.77,298,9.37,262.42,220.48,1422.27,4.43,1
359,1,185.61,232,6.09,121.8,32.13,3490.53,37.81,1
360,2,210.86,316,2.46,34.44,289.12,3063.21,62.66,1
361,2,32.3,48,7.27,92.59,67.28,3544.59,32.56,0
362,1,66.1,83,12.53,199.73,25.12,3252.13,62.33,1
363,1,191.19,239,8.89,87.67,97.22,1401.94,65.78,0
364,1,73.22,92,12.82,41.31,60.45,1016.88,34.51,0
365,2,69.48,104,5.58,64.2,68.34,1113.45,21.06,0
366,1,76.54,96,25.32,93.05,286.54,1068.27,58.43,1
367,3,208.42,417,16.53,67.81,330.8,1765.17,56.49,1
368,3,328.42,657,14.78,152.59,32.1,1459.34,1.19,0
369,3,371.85,744,8,43.05,324.93,3570.42,29.73,1
370,3,503.01,1006,2.65,38.49,154.04,1071.14,48.67,0
371,3,182.66,365,5.19,91.28,106.85,91.75,22.04,1
372,2,104.29,156,4.47,104.92,86.77,1443.09,43.37,0
373,2,251.67,378,5.66,107.73,293.24,2644.88,61.28,1
374,1,261.38,327,19.14,4.44,321.72,1601.13,11.71,0
375,2,157.21,236,8.5,45.76,116.07,1446.8,19.78,0
376,2,52.87,79,6.07,16.87,6.93,1201.36,36.13,0
377,1,128.63,161,8.99,65.01,249.76,796.69,10.51,1
378,1,381.67,477,10.41,38.84,258.76,2564.19,38.8,1
379,3,478.16,956,21.93,224.19,10.74,2084.08,43.73,1
380,2,229.63,344,5.42,186.5,124.79,1999.95,65.44,0
381,1,75.44,94,9.34,7.7,27.01,120.79,68.84,0
382,3,282.8,566,12.45,397.85,297.53,2208.91,55.42,1
383,1,182.65,228,16.71,12.08,255.1,1050.03,0.06,1
384,1,420.96,526,17.03,83.31,193.16,1841.64,44.43,0
385,1,385.36,482,15.82,10.53,10.79,779.14,58.19,0
386,3,210.03,420,4.45,252.07,267.36,1349.39,39.63,1
387,2,160.17,240,24.91,16.89,22.4,840.47,66.88,1
388,1,194.35,243,2.71,173.18,321.48,1241.43,15.43,1
389,3,164.23,328,4.57,68.64,210.51,1271.32,13.01,0
390,3,455.07,910,2.14,144.06,220.99,3165.58,14.43,0
391,1,52.32,65,15.79,104.6,318.8,945.86,59.01,1
392,2,389.31,584,25.95,25.07,333.28,2204.42,40.7,1
393,1,20.22,25,3.15,22.59,132.83,2439.26,63.84,0
394,2,311.82,468,10.92,257.86,65.4,222.77,70.94,1
395,1,477.99,597,15.74,217.28,340.51,3200.83,2.03,1
396,3,192.9,386,6.1,92.98,171.43,1086.07,21.73,0
397,1,359.54,449,20.72,130.78,145.82,3510.29,68.81,1
398,3,101.75,204,12.51,53.29,171.35,1359.93,6.22,1
399,3,218.32,437,5.65,58.88,216.54,345.02,37.11,0
400,1,160.22,200,7.94,105.73,299.35,1079.64,68.91,0
401,2,385.18,578,37.97,5.24,195.95,3100.29,25.93,1
402,3,345.78,692,5.92,269.89,118.28,2403.92,36.6,1
403,3,467.14,934,31.94,98.31,154.41,2390.08,60.72,1
404,3,174.68,349,11.96,27.15,248.5,383.27,15.19,1
405,3,225.56,451,42.3,38.66,200.89,2041.22,32.59,1
406,3,181.61,363,30.23,4.79,51.83,2179.11,2.27,1
407,1,219.5,274,5.78,56.29,263.98,949.66,0.83,1
408,3,330.47,661,14.69,99.54,250.58,490.54,46.96,1
409,3,545.81,1092,15.07,167.68,155.98,2944.6,54.98,1
410,1,339.98,425,20.83,5.5,86.98,2573.73,55.32,0
411,3,217.94,436,11.46,52.98,302.77,3120.44,18.51,1
412,2,235.02,353,17.13,313.39,39.04,1724.24,14.85,1
413,2,52.29,78,22.55,191.07,304.59,988.73,32.97,1
414,1,263.56,329,9.61,24.46,137.44,1298.42,60.16,0
415,2,169.29,254,9.63,93.97,259.21,867.22,20.16,1
416,3,436.29,873,11.96,150.3,183.08,3431.9,35.4,0
417,2,207.14,311,21.98,58.02,67.8,1566.59,30.09,0
418,1,423.46,529,8.78,100.18,253.43,1722.7,52.72,1
419,3,263.91,528,27.49,203.39,301.81,963.93,5.6,1
420,1,279.12,349,20.74,260.66,206.1,2956.43,25.74,1
